Dates,PX_LAST,DELTA_LAST
6/1/2018,1.98,0.353
6/4/2018,2.34,0.391
6/5/2018,2.59,0.416
6/6/2018,2.56,0.42
6/7/2018,2.07,0.359
6/8/2018,2.3,0.39
6/11/2018,2,0.358
6/12/2018,2.04,0.366
6/13/2018,1.87,0.346
6/14/2018,1.96,0.361
6/15/2018,1.55,0.31
6/18/2018,1.73,0.337
6/19/2018,1.81,0.342
6/20/2018,2.16,0.388
6/21/2018,1.98,0.356
6/22/2018,1.56,0.311
6/25/2018,1.24,0.253
6/26/2018,1.35,0.272
6/27/2018,1.06,0.224
6/28/2018,1.21,0.252
6/29/2018,1.13,0.249
