Dates,PX_LAST,DELTA_LAST
6/1/2018,7.57,0.753
6/4/2018,8.3,0.778
6/5/2018,8.5,0.787
6/6/2018,9,0.808
6/7/2018,7.79,0.761
6/8/2018,8.3,0.788
6/11/2018,7.75,0.77
6/12/2018,7.65,0.767
6/13/2018,7.65,0.772
6/14/2018,7.95,0.79
6/15/2018,7.4,0.787
6/18/2018,7.45,0.777
6/19/2018,7.3,0.764
6/20/2018,8.35,0.807
6/21/2018,7.7,0.771
6/22/2018,7.3,0.77
6/25/2018,5.95,0.682
6/26/2018,6.55,0.723
6/27/2018,5.33,0.647
6/28/2018,6.1,0.706
6/29/2018,5.95,0.701
